Brand,Model,Full_Name,Category,Fuel_Type,Price_INR,Engine_CC,Power_BHP,Torque_NM,Mileage_KMPL,Top_Speed_KMPH,Gears,Weight_KG,ABS_Type,Cooling_System,Cylinder_Type,Color,Launch_Year,State,City,Rating,No_of_Reviews,Is_Price_Outlier,Price_Category,Power_to_Weight,Torque_to_Weight
Hero,Splendor Plus,Hero Splendor Plus,Commuter Bike,Petrol,67800,97,8.05,8.17,70.0,95.0,4,110,CBS,Air Cooled,Single,Blue,2021,Madhya Pradesh,Gwalior,3.5,864,False,Budget (<80K),0.073,0.074
Hero,Splendor Plus,Hero Splendor Plus,Commuter Bike,Petrol,67200,97,8.07,8.09,75.2,95.0,4,114,CBS,Air Cooled,Single,Yellow,2024,Tamil Nadu,Coimbatore,3.2,1653,False,Budget (<80K),0.071,0.071
Hero,Splendor Plus,Hero Splendor Plus,Commuter Bike,Petrol,68900,97,7.87,8.12,70.2,95.0,4,110,CBS,Air Cooled,Single,Racing Red,2023,Telangana,Warangal,3.8,1298,False,Budget (<80K),0.072,0.074
Hero,Splendor Plus,Hero Splendor Plus,Commuter Bike,Petrol,69500,97,7.83,8.18,69.9,94.0,4,114,CBS,Air Cooled,Single,Grey,2020,Gujarat,Gandhinagar,4.5,4417,False,Budget (<80K),0.069,0.072
Hero,Splendor Plus,Hero Splendor Plus,Commuter Bike,Petrol,73200,97,8.09,8.21,82.0,94.0,4,110,CBS,Air Cooled,Single,Blue,2020,Gujarat,Gandhinagar,3.3,1891,False,Budget (<80K),0.074,0.075
Hero,Splendor Plus,Hero Splendor Plus,Commuter Bike,Petrol,69700,97,7.89,8.19,78.7,96.0,4,111,CBS,Air Cooled,Single,White,2022,Uttar Pradesh,Agra,3.8,5515,False,Budget (<80K),0.071,0.074
Hero,Splendor Plus,Hero Splendor Plus,Commuter Bike,Petrol,70700,97,8.04,8.03,79.3,98.0,4,110,CBS,Air Cooled,Single,Silver,2023,Tamil Nadu,Coimbatore,3.7,7605,False,Budget (<80K),0.073,0.073
Hero,Splendor Plus,Hero Splendor Plus,Commuter Bike,Petrol,68600,97,8.16,8.16,73.5,97.0,4,113,CBS,Air Cooled,Single,Green,2022,Telangana,Karimnagar,3.3,7505,False,Budget (<80K),0.072,0.072
Hero,Splendor Plus,Hero Splendor Plus,Commuter Bike,Petrol,69800,97,8.0,7.91,77.8,96.0,4,113,CBS,Air Cooled,Single,White,2022,West Bengal,Siliguri,3.5,6127,False,Budget (<80K),0.071,0.07
Hero,Splendor Plus,Hero Splendor Plus,Commuter Bike,Petrol,69500,97,7.82,8.06,81.0,95.0,4,114,CBS,Air Cooled,Single,Silver,2020,Karnataka,Belagavi,4.6,7079,False,Budget (<80K),0.069,0.071
Hero,Splendor Plus,Hero Splendor Plus,Commuter Bike,Petrol,67400,97,8.12,7.81,56.9,97.0,4,114,CBS,Air Cooled,Single,Silver,2024,Rajasthan,Ajmer,3.7,4557,False,Budget (<80K),0.071,0.069
